name,lat,lon
SAN GIL,6.550778765,-73.118879111
CONFINES,6.342314443,-73.25014013
TOGÜÍ,5.921830062,-73.489218055
SAN MIGUEL DE SEMA,5.532326922,-73.747158978
TAUSA,5.170527212,-73.958195935
FUNZA,4.743996711,-74.198659923
TIBACUY,4.321357899,-74.486672741
CUNDAY,3.98252395,-74.689369077
PRADO,3.729166649,-74.872477056
VILLAVIEJA,3.287057875,-75.13838292
PALERMO,2.914491967,-75.440661177
ÍQUIRA,2.691517773,-75.673831406
LA PLATA,2.328076586,-76.001172988
SALADOBLANCO,2.100382849,-76.228978708
SAN AGUSTÍN,1.924165493,-76.416565503
SANTA ROSA,1.52002179,-76.538762806
MOCOA,1.26070915,-76.665843491
VILLAGARZÓN,0.911149515,-76.744954473
ORITO,0.673756323,-76.943139229
IPIALES,0.497708465,-77.240476252
